%time,field.header.seq,field.header.stamp,field.header.frame_id,vx,vy,vz,field.velocity_covariance0,field.velocity_covariance1,field.velocity_covariance2,field.velocity_covariance3,field.velocity_covariance4,field.velocity_covariance5,field.velocity_covariance6,field.velocity_covariance7,field.velocity_covariance8,field.altitude,field.beams0.range,field.beams0.range_covariance,field.beams0.velocity,field.beams0.velocity_covariance,field.beams0.pose.header.seq,field.beams0.pose.header.stamp,field.beams0.pose.header.frame_id,field.beams0.pose.pose.position.x,field.beams0.pose.pose.position.y,field.beams0.pose.pose.position.z,field.beams0.pose.pose.orientation.x,field.beams0.pose.pose.orientation.y,field.beams0.pose.pose.orientation.z,field.beams0.pose.pose.orientation.w,field.beams1.range,field.beams1.range_covariance,field.beams1.velocity,field.beams1.velocity_covariance,field.beams1.pose.header.seq,field.beams1.pose.header.stamp,field.beams1.pose.header.frame_id,field.beams1.pose.pose.position.x,field.beams1.pose.pose.position.y,field.beams1.pose.pose.position.z,field.beams1.pose.pose.orientation.x,field.beams1.pose.pose.orientation.y,field.beams1.pose.pose.orientation.z,field.beams1.pose.pose.orientation.w,field.beams2.range,field.beams2.range_covariance,field.beams2.velocity,field.beams2.velocity_covariance,field.beams2.pose.header.seq,field.beams2.pose.header.stamp,field.beams2.pose.header.frame_id,field.beams2.pose.pose.position.x,field.beams2.pose.pose.position.y,field.beams2.pose.pose.position.z,field.beams2.pose.pose.orientation.x,field.beams2.pose.pose.orientation.y,field.beams2.pose.pose.orientation.z,field.beams2.pose.pose.orientation.w,field.beams3.range,field.beams3.range_covariance,field.beams3.velocity,field.beams3.velocity_covariance,field.beams3.pose.header.seq,field.beams3.pose.header.stamp,field.beams3.pose.header.frame_id,field.beams3.pose.pose.position.x,field.beams3.pose.pose.position.y,field.beams3.pose.pose.position.z,field.beams3.pose.pose.orientation.x,field.beams3.pose.pose.orientation.y,field.beams3.pose.pose.orientation.z,field.beams3.pose.pose.orientation.w
1741762826825098904,6,1377000000,bluerov2/dvl_link,1.0104992919272364,-1.3035238952764745,-0.12808618021591064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.350749969482422,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,3.011904716491699,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,3.768697500228882,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,5.622397422790527,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
1741762826968149762,7,1520000000,bluerov2/dvl_link,1.1485399091242399,-0.9645226710755409,-0.06682356918214646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.75779724121094,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,0.9268515706062317,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,4.1043477058410645,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
1741762827111051594,8,1663000000,bluerov2/dvl_link,1.1732492944189905,-0.5061520101152296,-0.04475034479132324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.407747268676758,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,3.715484857559204,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,4.028726577758789,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,0.8867795467376709,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
1741762827254476685,9,1806000000,bluerov2/dvl_link,1.0253661787520434,-0.18701168683521557,-0.020001133420396416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.14146423339844,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,4.755016803741455,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,3.9674673080444336,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,46.84336853027344,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
1741762827397531024,10,1949000000,bluerov2/dvl_link,0.8301209594082533,0.06817572499858254,0.023185935560194333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.718994140625,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,0.9158827066421509,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,3.8708717823028564,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,1.0892155170440674,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
1741762827540528554,11,2092000000,bluerov2/dvl_link,0.7272558561521283,0.22163245397010667,0.0050770657371194215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.910572052001953,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,9.15485954284668,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,3.789243459701538,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,33.698177337646484,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
1741762827683611799,12,2235000000,bluerov2/dvl_link,0.6857357083910076,0.27589735709328983,-0.006800790710715875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.976627349853516,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,12.608180046081543,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,3.7760090827941895,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,30.52232551574707,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
1741762827826812502,13,2378000000,bluerov2/dvl_link,0.6931718842761629,0.27235865713006846,-0.008594174233833539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.45286560058594,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,15.853165626525879,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,3.779365301132202,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,29.178924560546875,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
1741762827969694410,14,2521000000,bluerov2/dvl_link,0.6981144067505695,0.2304415765116506,0.009493098954435142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.751136779785156,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,17.43022346496582,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,3.804924964904785,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,28.769393920898438,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
1741762828112674953,15,2664000000,bluerov2/dvl_link,0.7181987779718656,0.211079522032315,0.006545326208163142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.49992370605469,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,16.084325790405273,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,3.8065943717956543,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,29.10877227783203,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
1741762828255738460,16,2807000000,bluerov2/dvl_link,0.7308676506008491,0.22869532796693004,-0.006346129162177949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.151432037353516,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,13.917001724243164,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,3.7992801666259766,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,29.889446258544922,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
1741762828398985129,17,2950000000,bluerov2/dvl_link,0.7329771115146873,0.20822162832655827,-0.003143236852672455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.92850112915039,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,11.972387313842773,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,3.8062756061553955,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,30.93533706665039,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
1741762828542078684,18,3093000000,bluerov2/dvl_link,0.7297991234091316,0.18507818639360119,4.479610479979849e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.85549545288086,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,10.445021629333496,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,3.808438539505005,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,32.16851806640625,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
1741762828684815027,19,3236000000,bluerov2/dvl_link,0.7257240237462113,0.15280222911588298,0.006939867064548472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.66387367248535,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,9.362139701843262,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,3.798384189605713,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,28.494970321655273,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
1741762828827884405,20,3379000000,bluerov2/dvl_link,0.740511895834408,0.13149893691210868,-0.0038366161650791467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.04551315307617,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,8.429102897644043,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,3.8062355518341064,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,34.94671630859375,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
1741762828970904354,21,3522000000,bluerov2/dvl_link,0.7453586378277129,0.11034805301188721,-0.0036193975970877364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25364685058594,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,7.756811141967773,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,3.802797794342041,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,36.45497131347656,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
1741762829113898176,22,3665000000,bluerov2/dvl_link,0.7504347362527881,0.07043809535558371,0.006189244347306513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.51643753051758,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,7.228190898895264,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,3.8035640716552734,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,38.033992767333984,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
1741762829257197368,23,3808000000,bluerov2/dvl_link,0.7802840589820794,0.06014170750465486,-0.005261741014351786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.775306701660156,81.0,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar0_link,0.0,0.0,0.0,0.0,-0.9999999999999998,0.0,0.9663899781345132,6.860843181610107,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar1_link,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9663899781345132,3.8045802116394043,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar2_link,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.9663899781345132,39.43580627441406,0.0,0.0,0.0,0,519000000,bluerov2/dvl_sonar3_link,0.0,0.0,0.0,0.0,0.0,-0.9999999999999998,0.9663899781345132
